ids,growth,status
{'s0001'},0.21114065257211634,optimal
{'b0116'},0.7823510529477402,optimal
{'b0726'},0.8583074080226888,optimal
{'b1478'},0.8739215069684305,optimal
{'b0727'},0.8583074080226881,optimal
{'b2296'},0.8739215069684305,optimal
{'b2587'},0.8739215069684305,optimal
{'b3115'},0.8739215069684305,optimal
{'b1241'},0.8739215069684305,optimal
{'b0118'},0.8739215069684305,optimal
{'b0356'},0.8739215069684305,optimal
{'b1849'},0.8739215069684305,optimal
{'b0474'},0.8739215069684305,optimal
{'b0351'},0.8739215069684305,optimal
{'b1276'},0.8739215069684305,optimal
